model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
"2br02b_bleu,bleurt_40",234,0.5641025641025641,0.5161290322580645,0.45714285714285713,0.48484848484848486,0.0593,48,84,45,57
"2br02b_bleu,bleurt_50",234,0.5683760683760684,0.5166666666666667,0.5904761904761905,0.5511111111111111,0.021,62,71,58,43
"2br02b_bleu,bleurt_60",234,0.5085470085470085,0.4652777777777778,0.638095238095238,0.5381526104417671,0.306,67,52,77,38
"2br02b_bleu,bleurt_70",234,0.5128205128205128,0.47368421052631576,0.7714285714285715,0.5869565217391305,0.1268,81,39,90,24
"2br02b_bleu,bleurt_75",234,0.49145299145299143,0.46153846153846156,0.8,0.5853658536585366,0.2845,84,31,98,21
"2br02b_bleu,bleurt_80",234,0.47863247863247865,0.45595854922279794,0.8380952380952381,0.5906040268456376,0.3782,88,24,105,17
"2br02b_bleu,bleurt_85",234,0.4829059829059829,0.46078431372549017,0.8952380952380953,0.6084142394822006,0.2184,94,19,110,11
"2br02b_bleu,bleurt_90",234,0.47435897435897434,0.45794392523364486,0.9333333333333333,0.6144200626959248,0.2419,98,13,116,7
"2br02b_bleu,bleurt_95",234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0914,103,8,121,2
"2br02b_comet,levenshtein_5",234,0.5555555555555556,0.5454545454545454,0.05714285714285714,0.10344827586206896,0.353,6,124,5,99
"2br02b_comet,levenshtein_10",234,0.5641025641025641,0.5714285714285714,0.11428571428571428,0.19047619047619047,0.164,12,120,9,93
"2br02b_comet,levenshtein_15",234,0.5854700854700855,0.6111111111111112,0.20952380952380953,0.3120567375886525,0.0232,22,115,14,83
"2br02b_comet,levenshtein_20",234,0.6153846153846154,0.6530612244897959,0.3047619047619048,0.4155844155844156,0.0009,32,112,17,73
"2br02b_comet,levenshtein_25",234,0.6025641025641025,0.5967741935483871,0.3523809523809524,0.4431137724550898,0.0032,37,104,25,68
"2br02b_comet,levenshtein_30",234,0.5982905982905983,0.5753424657534246,0.4,0.47191011235955055,0.0055,42,98,31,63
"2br02b_comet,levenshtein_40",234,0.5641025641025641,0.5154639175257731,0.47619047619047616,0.49504950495049505,0.0527,50,82,47,55
"2br02b_comet,levenshtein_50",234,0.5641025641025641,0.5121951219512195,0.6,0.5526315789473685,0.0254,63,69,60,42
"2br02b_comet,levenshtein_60",234,0.5598290598290598,0.5068493150684932,0.7047619047619048,0.5896414342629482,0.0139,74,57,72,31
"2br02b_comet,levenshtein_70",234,0.5598290598290598,0.5058139534883721,0.8285714285714286,0.628158844765343,0.002,87,44,85,18
"2br02b_comet,levenshtein_75",234,0.5427350427350427,0.4945652173913043,0.8666666666666667,0.629757785467128,0.0032,91,36,93,14
"2br02b_comet,levenshtein_80",234,0.5256410256410257,0.4845360824742268,0.8952380952380953,0.6287625418060201,0.0103,94,29,100,11
"2br02b_comet,levenshtein_85",234,0.5170940170940171,0.4803921568627451,0.9333333333333333,0.6343042071197411,0.008,98,23,106,7
"2br02b_comet,levenshtein_90",234,0.49145299145299143,0.4672897196261682,0.9523809523809523,0.6269592476489029,0.0496,100,15,114,5
"2br02b_comet,levenshtein_95",234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0219,104,9,120,1
"2br02b_comet,bleurt_5",234,0.5641025641025641,0.6153846153846154,0.0761904761904762,0.13559322033898305,0.1619,8,124,5,97
"2br02b_comet,bleurt_10",234,0.5982905982905983,0.6896551724137931,0.19047619047619047,0.29850746268656714,0.0056,20,120,9,85
"2br02b_comet,bleurt_15",234,0.6153846153846154,0.6744186046511628,0.2761904761904762,0.3918918918918919,0.001,29,115,14,76
"2br02b_comet,bleurt_20",234,0.6324786324786325,0.6727272727272727,0.3523809523809524,0.4625,0.0002,37,111,18,68
"2br02b_comet,bleurt_25",234,0.6153846153846154,0.6119402985074627,0.3904761904761905,0.47674418604651164,0.001,41,103,26,64
"2br02b_comet,bleurt_30",234,0.6196581196581197,0.6025641025641025,0.44761904761904764,0.5136612021857924,0.0004,47,98,31,58
"2br02b_comet,bleurt_40",234,0.5982905982905983,0.5533980582524272,0.5428571428571428,0.5480769230769231,0.0033,57,83,46,48
"2br02b_comet,bleurt_50",234,0.5982905982905983,0.5419847328244275,0.6761904761904762,0.6016949152542372,0.0009,71,69,60,34
"2br02b_comet,bleurt_60",234,0.5854700854700855,0.5263157894736842,0.7619047619047619,0.622568093385214,0.001,80,57,72,25
"2br02b_comet,bleurt_70",234,0.5683760683760684,0.5114942528735632,0.8476190476190476,0.6379928315412187,0.0009,89,44,85,16
"2br02b_comet,bleurt_75",234,0.5470085470085471,0.4972972972972973,0.8761904761904762,0.6344827586206897,0.0026,92,36,93,13
"2br02b_comet,bleurt_80",234,0.5427350427350427,0.4948453608247423,0.9142857142857143,0.6421404682274248,0.0007,96,31,98,9
"2br02b_comet,bleurt_85",234,0.5085470085470085,0.47549019607843135,0.9238095238095239,0.627831715210356,0.0255,97,22,107,8
"2br02b_comet,bleurt_90",234,0.49145299145299143,0.4672897196261682,0.9523809523809523,0.6269592476489029,0.0511,100,15,114,5
"2br02b_comet,bleurt_95",234,0.4658119658119658,0.45535714285714285,0.9714285714285714,0.6200607902735562,0.2583,102,7,122,3
"2br02b_bleurt,levenshtein_5",234,0.5726495726495726,0.6923076923076923,0.08571428571428572,0.15254237288135594,0.0614,9,125,4,96
"2br02b_bleurt,levenshtein_10",234,0.5854700854700855,0.6538461538461539,0.1619047619047619,0.2595419847328244,0.0208,17,120,9,88
"2br02b_bleurt,levenshtein_15",234,0.5854700854700855,0.6111111111111112,0.20952380952380953,0.3120567375886525,0.0242,22,115,14,83
"2br02b_bleurt,levenshtein_20",234,0.5769230769230769,0.5625,0.2571428571428571,0.35294117647058826,0.049,27,108,21,78
"2br02b_bleurt,levenshtein_25",234,0.5854700854700855,0.5689655172413793,0.3142857142857143,0.4049079754601227,0.0218,33,104,25,72
"2br02b_bleurt,levenshtein_30",234,0.5982905982905983,0.5774647887323944,0.3904761904761905,0.4659090909090909,0.0056,41,99,30,64
"2br02b_bleurt,levenshtein_40",234,0.5641025641025641,0.5148514851485149,0.49523809523809526,0.5048543689320388,0.0469,52,80,49,53
"2br02b_bleurt,levenshtein_50",234,0.5341880341880342,0.48412698412698413,0.580952380952381,0.5281385281385281,0.1452,61,64,65,44
"2br02b_bleurt,levenshtein_60",234,0.5427350427350427,0.4931506849315068,0.6857142857142857,0.5737051792828686,0.0491,72,55,74,33
"2br02b_bleurt,levenshtein_70",234,0.5299145299145299,0.48554913294797686,0.8,0.60431654676259,0.0352,84,40,89,21
"2br02b_bleurt,levenshtein_75",234,0.5170940170940171,0.4782608695652174,0.8380952380952381,0.6089965397923875,0.0534,88,33,96,17
"2br02b_bleurt,levenshtein_80",234,0.5256410256410257,0.4845360824742268,0.8952380952380953,0.6287625418060201,0.0114,94,29,100,11
"2br02b_bleurt,levenshtein_85",234,0.5085470085470085,0.47549019607843135,0.9238095238095239,0.627831715210356,0.0241,97,22,107,8
"2br02b_bleurt,levenshtein_90",234,0.5,0.4719626168224299,0.9619047619047619,0.6332288401253918,0.0162,101,16,113,4
"2br02b_bleurt,levenshtein_95",234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0198,104,9,120,1
"2br02b_comet,bleurt,levenshtein_5",234,0.5555555555555556,0.5454545454545454,0.05714285714285714,0.10344827586206896,0.353,6,124,5,99
"2br02b_comet,bleurt,levenshtein_10",234,0.5769230769230769,0.6153846153846154,0.1523809523809524,0.24427480916030533,0.0491,16,119,10,89
"2br02b_comet,bleurt,levenshtein_15",234,0.6153846153846154,0.6923076923076923,0.2571428571428571,0.375,0.0006,27,117,12,78
"2br02b_comet,bleurt,levenshtein_20",234,0.5982905982905983,0.6078431372549019,0.29523809523809524,0.3974358974358974,0.0075,31,109,20,74
"2br02b_comet,bleurt,levenshtein_25",234,0.6111111111111112,0.6129032258064516,0.3619047619047619,0.4550898203592814,0.0014,38,105,24,67
"2br02b_comet,bleurt,levenshtein_30",234,0.6068376068376068,0.589041095890411,0.4095238095238095,0.48314606741573035,0.0018,43,99,30,62
"2br02b_comet,bleurt,levenshtein_40",234,0.6025641025641025,0.56,0.5333333333333333,0.5463414634146342,0.0022,56,85,44,49
"2br02b_comet,bleurt,levenshtein_50",234,0.5641025641025641,0.5118110236220472,0.6190476190476191,0.5603448275862069,0.0197,65,67,62,40
"2br02b_comet,bleurt,levenshtein_60",234,0.5341880341880342,0.4868421052631579,0.7047619047619048,0.5758754863813229,0.0709,74,51,78,31
"2br02b_comet,bleurt,levenshtein_70",234,0.5598290598290598,0.5057471264367817,0.8380952380952381,0.6308243727598566,0.0016,88,43,86,17
"2br02b_comet,bleurt,levenshtein_75",234,0.5384615384615384,0.4918918918918919,0.8666666666666667,0.6275862068965518,0.0065,91,35,94,14
